feature,coefficient,odds_ratio
num__pre_last_progress_std,-1.123635602707327,0.3250957246266182
num__has_special_needs,1.0198844329473675,2.7728742925373764
num__pre_last_mean_progress,-0.7756097257085818,0.46042296367911945
num__current_risk_num,0.5765115585491337,1.7798187949803626
num__avg_session_duration,0.41272538216361915,1.5109300406167399
num__home_visit_count,-0.4101108998431431,0.6635766555085691
num__visit_followup_rate,0.39443388046332534,1.4835440898517538
cat__case_category_Foundling,0.3578314334289831,1.430224512117272
num__education_plan_achieved,-0.35436794980522873,0.7016167601044278
num__risk_improvement,-0.34569317301553315,0.7077296043364023
cat__current_risk_level_Low,-0.3277228700850493,0.7205626815125379
num__baseline_attendance,0.32176408638860027,1.3795592807523192
num__referral_rate,-0.3139290136352781,0.7305708868902037
num__positive_shift_rate,-0.31196215776545716,0.732009228569103
cat__current_risk_level_High,0.2919583306365895,1.3390472192315577
num__edu_record_count,-0.26315024221305844,0.7686264085031018
num__visit_safety_concern_rate,-0.24456527547268422,0.7830448730728727
cat__initial_risk_level_High,0.23644384444842123,1.266736419340471
cat__case_category_Abandoned,-0.2250799815240135,0.7984523547692548
num__is_pwd,-0.17049456810762822,0.8432476700467597
num__pre_last_mean_attendance,0.16368826828846633,1.1778470855692427
num__health_score_change,0.1468030549710173,1.1581258534382965
cat__case_category_Neglected,-0.14594107421505315,0.8642086258559353
num__initial_risk_num,0.14112514136452095,1.1515687478525751
cat__current_risk_level_Medium,0.13881909679869853,1.1489162385771874
num__avg_health_score,-0.13501801409463765,0.8737001726286777
num__process_session_count,-0.12661154746716408,0.881075862280953
cat__initial_risk_level_Critical,-0.10934320766919059,0.8964227055493245
cat__initial_risk_level_Low,-0.10869345993001182,0.8970053434389316
num__avg_services_per_plan,0.10770071047231003,1.1137143724529293
cat__current_risk_level_Critical,-0.10312887382431637,0.9020107204195742
num__baseline_progress,-0.06646391140266111,0.9356966832278509
num__concerns_rate,-0.056890715517745036,0.9446973044812305
num__pre_last_attendance_std,0.03304902708882315,1.033601212457566
cat__initial_risk_level_Medium,-0.018481493323296534,0.981688242210602
cat__case_category_Surrendered,0.01311530583600593,1.0132016886923463
num__safehouse_id,0.010779761537769859,1.010838072504927
num__family_is_4ps,0.002527095563385952,1.0025302913608407
num__plan_count,0.0,1.0
num__education_plan_count,0.0,1.0
